pat_id,birth_date,death_date,ssn,drivers,passport,prefix,first,last,suffix,maiden,marital,race,ethnicity,gender,birthplace,address,prior_opioid_abuse_diag
52e3f2e9-82a1-4ec5-b90a-e42c17551da8,2009-05-16,,999-83-3779,,,,Joslyn677,Stark857,,,,white,portuguese,F,Columbus,278 Green Pathway Ashland Ohio 44805 US,0
d78c03e8-5c27-42d4-ac6a-634136a338d9,2004-01-03,,999-94-4140,,,,Malcom15,Runolfsdottir785,,,,white,american,M,Beavercreek,211 Welch Plaza Columbus Ohio 43002 US,0
3eebba63-51a3-4f76-86fc-fa584f56aa87,2002-06-23,,999-47-5418,,,,Azzie965,Kub800,,,,white,portuguese,F,Warrenship,148 Beer Common Mount Healthy Ohio 45231 US,0
9f8e3f49-c8ed-40ee-910c-61202baf9bff,2015-03-25,,999-23-2922,,,,Jamel269,Marquardt819,,,,white,english,M,New Franklin,182 Mann Row Columbus Ohio 43002 US,1
09bd4fe4-bb55-427c-bd36-6d9d51ee6b01,2014-05-05,,999-88-4173,,,,Shena75,Larkin917,,,,white,swedish,F,Columbus,149 Trantow Plaza Dayton Ohio 45377 US,0
57e2d8e6-b991-4436-981c-497f21ea91cc,1980-12-30,,999-67-9905,S99942842,X8326375X,Mrs.,Fred155,Ledner144,,Franecki195,M,white,polish,F,Steubenville,971 Schoen Green Suite 14 Brooklyn Ohio 44102 US,0
6e37d70d-bdb9-42dd-88fb-5541e6833d3f,1970-04-25,,999-41-7459,S99946867,X5340888X,Mrs.,Cuc113,Rempel203,,Homenick806,M,black,african,F,Brunswick,946 Rolfson Extension Unit 41 Union Ohio 45322 US,1
48b2e3ed-f81a-449d-bd36-a38e44bba3d6,1993-05-06,,999-72-6707,S99918399,X76697751X,Mr.,Santiago500,Batz141,,,,white,german,M,Columbus,911 Ritchie Stravenue Apt 5 Cleveland Ohio 44101 US,0
2a666b88-0231-40d0-9b51-3b0bcde1cb08,1989-04-08,,999-63-2175,S99977574,X69356572X,Mrs.,Bertie593,Jacobs452,,Huels583,M,white,german,F,Columbus,1080 Cummerata Station Apt 6 Bowling Green Ohio 43402 US,0
d6e6f30e-1d21-4d69-bfc0-aab4678190ab,1962-01-06,,999-96-5409,S99978079,X58633867X,Mr.,Tony646,Gottlieb798,,,M,white,irish,M,Akron,188 Metz Trafficway Dayton Ohio 45377 US,1
70a8f462-db4e-4673-ba0c-2f44f54fa724,2015-05-19,,999-91-5453,,,,Gerardo48,Nicolas769,,,,white,irish,M,North Ridgeville,711 Bernier Dale Columbus Ohio 43002 US,1
4da33947-9458-4c4f-a2d4-ff1b63426c42,1955-07-11,,999-11-8071,S99961497,X66963737X,Mrs.,Georgiann138,Schaefer657,,Champlin946,M,white,irish,F,Beaverdam village,1040 Harvey Overpass Apt 93 Cincinnati Ohio 45202 US,0
0a5a4554-388a-4214-8751-26049dfeae38,1948-11-13,,999-25-7273,S99929704,X52078541X,Ms.,Luis923,Predovic534,,,S,white,greek,F,Tallmadge,462 Mraz Meadow Columbus Ohio 43002 US,0
1e321063-b542-468f-ab6e-fb0a54ff5cba,1963-04-27,,999-79-3028,S99911400,X41428292X,Mrs.,Makeda237,Gusikowski974,,Reichert620,M,white,english,F,Avon,197 Cartwright Park Suite 29 Piqua Ohio 45356 US,0
50610517-d83c-4fca-b745-ca3e029039b8,1974-03-26,,999-44-7972,S99912318,X79637955X,Mr.,Alvin56,Vandervort697,,,M,white,polish,M,Waldo village,1001 Davis Quay Cleveland Ohio 44101 US,0
cdd864c7-5f29-44e9-a9dc-ee42eac3ab32,1994-11-11,,999-69-8685,S99953821,X69185238X,Mr.,Wilbert25,Hermann103,,,,white,english,M,Colerainship,1015 Harris Station Springfield Ohio 45502 US,0
81a88966-0f91-472b-95e0-00ba5ed85adf,1980-04-20,,999-27-8302,S99992812,X58893877X,Mrs.,Floy720,Reynolds644,,Cummings51,M,white,irish,F,Solon,812 Oberbrunner Burg Suite 77 Columbus Ohio 43002 US,1
72d1be7c-b585-4b82-9a74-0de5980e32a3,2018-04-09,,999-14-9397,,,,Blake449,Sauer652,,,,white,italian,M,Minerva village,625 Gerlach Mall Unit 30 Columbus Ohio 43002 US,0
cb826f5d-d818-4f57-b422-4898aaa31391,1987-12-23,,999-68-7290,S99964275,X58004843X,Mr.,Keneth579,Barrows492,,,M,white,irish,M,Cleveland,372 Rippin Rapid Keeneship Ohio  US,1
f260d5c5-b3c3-4626-a653-efb108606e5c,1954-03-31,,999-87-7678,S99923623,X60443144X,Mr.,Javier97,Rutherford999,,,M,white,irish,M,Harrisvilleship,770 Bode Ferry Suite 39 Steubenville Ohio 43938 US,0
3e70341b-1244-4e26-9328-601f77ad4e1c,2008-05-20,,999-18-7193,,,,Toney527,Dibbert990,,,,white,english,M,Newark,385 Breitenberg Esplanade Suite 79 Colerainship Ohio  US,0
1b515740-50b6-4d17-944d-222bbc6e8c33,1966-11-04,,999-30-2480,S99918578,X28119650X,Mrs.,Else33,Howell947,,Hyatt152,M,white,irish,F,Lorain,148 Walter Loaf Shawneeship Ohio  US,0
6c2a1061-a2d1-4e12-ab03-8091abec434f,1954-11-05,,999-69-5562,S99927133,X30981169X,Mr.,Carlos172,Narváez57,,,M,black,dominican,M,Northfield village,1073 Cummerata Rapid Unit 43 Wooster Ohio 44691 US,0
f720b397-3744-40e5-bb23-77a42014ce16,1980-06-24,,999-64-7840,S99950466,X44022895X,Mrs.,Ester635,Olivárez848,,Jáquez824,M,black,dominican,F,Texasship,634 Jakubowski Loaf Unit 84 Shaker Heights Ohio 44118 US,0
6efe0afc-0522-4a84-97b1-1071ddf6e49f,1952-09-29,2017-01-31,999-23-3005,S99939585,X67677158X,Mrs.,Meri607,Kuhlman484,,Muller251,M,black,west_indian,F,Miamiship,1042 Cummings Bypass Apt 93 Pepper Pike Ohio 44122 US,0
18821d31-8636-449d-88ba-15e4ec32bdf8,2000-09-04,,999-30-7772,S99999787,,,Lavonne167,Padberg411,,,,white,french_canadian,F,Columbus,552 Heller Gate Apt 11 Bathship Ohio  US,0
a2cdf94b-b662-4579-abdd-c03d290ec485,1971-09-30,,999-81-3169,S99943571,X34781576X,Mr.,Bennie663,Krajcik437,,,M,white,french,M,Columbus,834 Waelchi Orchard Suite 17 Lorain Ohio 44001 US,0
a35b0040-9af5-4aae-90f0-2956f0d8cb84,1979-08-18,,999-10-8302,S99938933,X87515365X,Mrs.,Renata373,Reilly981,,Bode78,M,white,italian,F,Toledo,570 Weber Lodge Apt 43 Coshocton Ohio 43812 US,1
ece975b9-30ba-40d5-9c1e-d8630b7c247a,1960-06-13,,999-30-4814,S99922317,X62812031X,Mrs.,Rosina706,Walsh511,,Leannon79,M,black,west_indian,F,Montvilleship,1023 Runte Well Vandalia Ohio 45371 US,0
5a9fbf3d-9907-4f99-a552-96db348d845d,1974-03-13,,999-19-8466,S99998211,X18864824X,Mr.,Everett935,Fay398,,,M,black,african,M,Bellevue,935 Hoeger Ville West Carrollton Ohio 45342 US,1
236a3d72-0c0a-4c77-aa14-3d6fe79cec3f,2011-01-08,,999-20-5373,,,,Walter473,Veum823,,,,white,english,M,Columbus,621 Lang Esplanade Tipp City Ohio 45371 US,0
45d7166e-6966-48fd-93ce-2b2ce306b7eb,1951-01-08,,999-50-9186,S99916390,X36975753X,Mrs.,Belen306,Schuppe920,,Maggio310,M,white,italian,F,Unionship,928 Lindgren Port Cleveland Ohio 44101 US,0
3cc47aca-b454-4b77-9343-38999b618a30,1998-05-16,,999-51-9098,S99936001,X34263707X,Ms.,María Luisa888,Molina998,,,,black,dominican,F,Zanesville,228 Smitham Vista Willoughby Ohio 44094 US,0
83892444-6179-414a-b6b2-70bd83501ae4,1938-10-30,,999-19-9552,S99938317,X1108409X,Mrs.,Trisha327,Borer986,,Pagac496,M,white,portuguese,F,Columbus,339 Stanton Pathway Suite 62 Rugglesship Ohio  US,0
c33ea557-7370-4df0-94fd-2d667c892272,1978-06-19,,999-13-5281,S99947574,X36655365X,Mr.,Luther918,Bode78,,,M,black,african,M,Vandalia,306 Williamson Dale Suite 18 Pepper Pike Ohio 44122 US,0
